City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
436,Kudahuvadhoo,MV,80.35,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
437,Neuquen,AR,82.29,clear sky,-38.9516,-68.0591,Hotel del Comahue
443,Kokopo,PG,82.22,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
446,Bac Lieu,VN,73.47,few clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
454,Cartagena,CO,85.62,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
455,Biak,ID,77.31,broken clouds,-0.9131,122.8766,Penginapan Kim
456,Kahului,US,81.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
462,Jaru,BR,73.24,overcast clouds,-10.4389,-62.4664,Hotel Paraná
465,Ahuimanu,US,79.75,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
467,Eureka,US,75.81,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
470,Duku,NG,74.44,clear sky,11.2361,4.9073,
473,Paso De Los Toros,UY,89.49,few clouds,-32.8167,-56.5167,Complejo Isabelino
476,Ilebo,CD,70.63,broken clouds,-4.3167,20.5833,Hôtel BUMAK
477,Kwinana,AU,83.23,clear sky,-32.25,115.7667,Rockingham Apartments
479,Katobu,ID,77.79,overcast clouds,-4.9408,122.5276,La Ode Husein
486,Morondava,MG,79.99,overcast clouds,-20.2833,44.2833,La Case Bambou
489,Guiratinga,BR,77.25,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
490,Dingle,PH,74.53,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
491,Port Augusta,AU,73.71,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
494,Tamale,GH,77.09,clear sky,9.4008,-0.8393,Tap Hotel
498,Fartura,BR,82.35,scattered clouds,-23.3883,-49.51,Rocha Palace Hotel
500,Vila Velha,BR,79.45,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
507,Tutoia,BR,82.38,overcast clouds,-2.7619,-42.2744,Pousada Guará's
514,Mtwara,TZ,74.19,overcast clouds,-10.2667,40.1833,TIL Hotels Mtwara
515,Begoro,GH,71.08,clear sky,6.3871,-0.3774,Sweet Memories Hotel
529,San-Pedro,CI,77.25,clear sky,4.7485,-6.6363,Hotel Maria
531,Kampong Cham,KH,72.23,broken clouds,11.9934,105.4635,7 Makara Hotel
534,Namatanai,PG,84.02,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
535,Champerico,GT,89.76,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
536,Madina,GH,79.56,clear sky,5.6823,-0.1641,Pekan Hotel
542,Cap Malheureux,MU,81.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
543,Gawler,AU,75.83,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
545,Simbahan,PH,80.28,overcast clouds,6.3032,120.5836,
549,Inirida,CO,78.93,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
550,Kawalu,ID,71.96,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
551,Yaan,NG,79.93,few clouds,7.3833,8.5667,
554,Santa Rosa,PH,78.78,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
556,Richards Bay,ZA,70.95,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
557,Pemangkat,ID,76.3,clear sky,1.1667,108.9667,Ramah Kost KITA
560,Massaguet,TD,71.64,scattered clouds,12.4755,15.4365,Alwatane
562,Charters Towers,AU,80.44,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
571,Nabire,ID,78.33,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
575,Gualeguaychu,AR,91.71,scattered clouds,-33.0094,-58.5172,Hotel Los Angeles
576,General Pico,AR,72.95,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
577,Amboasary,MG,76.84,scattered clouds,-25.0333,46.3833,DISCOVERY AMBOASARY
580,Sainte-Marie,RE,80.76,broken clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
582,Flinders,AU,75.18,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
583,Cairns,AU,81.07,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
585,Ballina,AU,71.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
